iter	Logloss
0	0.683813004
1	0.6766939211
2	0.6711647284
3	0.6658133289
4	0.6587708466
5	0.6525726783
6	0.647117252
7	0.6417474299
8	0.6364803828
9	0.6304273477
10	0.6244161416
11	0.6183488882
12	0.6134237146
13	0.6100057909
14	0.6061116045
15	0.6031106883
16	0.5992847241
17	0.5952510114
18	0.5923772472
19	0.588945892
20	0.5859112278
21	0.5831652948
22	0.5807277966
23	0.577960713
24	0.5748072394
25	0.5721594785
26	0.5693141361
27	0.566569848
28	0.5641737707
29	0.5614991607
30	0.5595515883
31	0.5565337143
32	0.5540484218
33	0.5519574362
34	0.5495048817
35	0.5476078594
36	0.546045719
37	0.5451810361
38	0.5444283876
39	0.5424780105
40	0.5418485122
41	0.5405446938
42	0.5383470562
43	0.5372911892
44	0.5364979529
45	0.5352315391
46	0.5338893644
47	0.5327784521
48	0.5313727322
49	0.5303262701
50	0.5288367935
51	0.5277949254
52	0.5266995067
53	0.5258356553
54	0.5252037485
55	0.5233058852
56	0.5232251189
57	0.5225427499
58	0.5216307392
59	0.5206226003
60	0.5193959834
61	0.5188399115
62	0.5182485565
63	0.5172398344
64	0.5164979538
65	0.5148750196
66	0.5137469377
67	0.513038773
68	0.5121678751
69	0.5114964007
70	0.5111955471
71	0.5097268695
72	0.5086477124
73	0.5080000644
74	0.5071874787
75	0.5068315888
76	0.506263067
77	0.5055528718
78	0.5052800173
79	0.5046633077
80	0.5039631594
81	0.5025390266
82	0.5016832857
83	0.500568536
84	0.4997926677
85	0.4994853013
86	0.4989064088
87	0.4982467413
88	0.4979826461
89	0.4972517124
90	0.496755469
91	0.4954233621
92	0.49501727
93	0.4944225127
94	0.4944085222
95	0.4940232292
96	0.4932901742
97	0.4921503072
98	0.4913656567
99	0.4908172822
100	0.4905694466
101	0.4899665531
102	0.4893470076
103	0.4885052295
104	0.4880940283
105	0.4871390996
106	0.4862623402
107	0.4856792309
108	0.4849507272
109	0.4846510561
110	0.4843673345
111	0.4840951557
112	0.4830365575
113	0.4826994233
114	0.4820750197
115	0.4816304804
116	0.4807085837
117	0.4798372413
118	0.4794136622
119	0.4783375403
120	0.4780884954
121	0.4774264402
122	0.4766188615
123	0.4761462156
124	0.4755706755
125	0.4751368568
126	0.4744153087
127	0.4734378804
128	0.4729835132
129	0.4727960796
130	0.472658367
131	0.4718691361
132	0.4717786393
133	0.4712566841
134	0.4711765906
135	0.4706898238
136	0.4702873288
137	0.4692724956
138	0.4689815275
139	0.4684498873
140	0.4680174396
141	0.4675767212
142	0.4669551042
143	0.4663331729
144	0.4658270071
145	0.465369693
146	0.464491174
147	0.4635458625
148	0.462537168
149	0.4622964634
150	0.4614800818
151	0.4612648274
152	0.4612345055
153	0.461046177
154	0.4605190173
155	0.4599025057
156	0.4594872018
157	0.4589211538
158	0.4587542062
159	0.458424231
160	0.4582454683
161	0.4580007294
162	0.4578540255
163	0.4573264956
164	0.456964812
165	0.4568240946
166	0.4559644736
167	0.4557180091
168	0.4548175364
169	0.4540466284
170	0.4533919519
171	0.4532811914
172	0.453085617
173	0.4526837534
174	0.4518147026
175	0.4516519743
176	0.4510095833
177	0.4504012371
178	0.4499461416
179	0.449728494
180	0.4485646171
181	0.4482476968
182	0.4479583756
183	0.4476015771
184	0.4469288891
185	0.4465567846
186	0.446227481
187	0.4460686137
188	0.4460608041
189	0.4456379902
190	0.4451228615
191	0.4449427543
192	0.4447690793
193	0.4444665686
194	0.4440619987
195	0.4432271801
196	0.4430573131
197	0.4425431137
198	0.4421253759
199	0.4414891178
200	0.440904346
201	0.4405886192
202	0.4400224006
203	0.4399141829
204	0.4392116134
205	0.4383703163
206	0.4376688381
207	0.4374391969
208	0.4371952845
209	0.4366835614
210	0.4362998326
211	0.4358280721
212	0.435211154
213	0.4348006666
214	0.4346400727
215	0.4334407629
216	0.433222475
217	0.4327545842
218	0.4323270695
219	0.4315702858
220	0.4314570021
221	0.4313089597
222	0.4310711074
223	0.4309102134
224	0.4304036368
225	0.429780611
226	0.4295027929
227	0.429008974
228	0.4286547678
229	0.4279718696
230	0.4265042445
231	0.4258653371
232	0.4255897752
233	0.4250660055
234	0.4247104895
235	0.4245366105
236	0.424138184
237	0.4233841818
238	0.4223157368
239	0.4211312207
240	0.4207601755
241	0.4205022153
242	0.4201961453
243	0.4188595699
244	0.4186702417
245	0.4184802649
246	0.4177612879
247	0.4175848945
248	0.4174742901
249	0.4166420056
250	0.4159001428
251	0.4156547023
252	0.4146038307
253	0.4141384857
254	0.4138276298
255	0.4138107505
256	0.4131107579
257	0.412784661
258	0.4126491224
259	0.4121310649
260	0.4117693461
261	0.4116120507
262	0.4110780854
263	0.4108883549
264	0.41057161
265	0.4100410549
266	0.4093937239
267	0.4092838713
268	0.4088547151
269	0.4086306885
270	0.4084751641
271	0.4077497105
272	0.4067150502
273	0.4051583447
274	0.4047313458
275	0.4036433541
276	0.4027074549
277	0.400975718
278	0.4006738037
279	0.4003077626
280	0.3995120835
281	0.3981533687
282	0.39696247
283	0.3960928949
284	0.395053009
285	0.3944451454
286	0.3942879674
287	0.393908186
288	0.3935643439
289	0.3930414209
290	0.3921068345
291	0.3918954168
292	0.3911741655
293	0.3910350985
294	0.3903229724
295	0.3896355274
296	0.3890655337
297	0.3889969418
298	0.3879882443
299	0.3873517953
300	0.3866216719
301	0.3857904651
302	0.3851813397
303	0.3844353945
304	0.3842128769
305	0.3838862845
306	0.3834828721
307	0.3830217145
308	0.3819972283
309	0.3805980425
310	0.3800927048
311	0.3795688475
312	0.3792101105
313	0.3784318437
314	0.3782045201
315	0.3781041716
316	0.3773803969
317	0.3769106337
318	0.3757935554
319	0.3756095982
320	0.3745534389
321	0.37412021
322	0.3729660849
323	0.3728214182
324	0.3718886746
325	0.3714175233
326	0.3704676702
327	0.3698017487
328	0.369649414
329	0.3692685561
330	0.3684408858
331	0.3681386766
332	0.3676708073
333	0.3670798608
334	0.3662126308
335	0.3657599127
336	0.3654902143
337	0.3652500939
338	0.3640629037
339	0.3636850359
340	0.363112757
341	0.362317925
342	0.3616380666
343	0.3611021201
344	0.3605982699
345	0.3598484498
346	0.3596396398
347	0.359520844
348	0.3593868904
349	0.3586509775
350	0.35849384
351	0.357950244
352	0.3577644151
353	0.3569616581
354	0.356326331
355	0.3562758335
356	0.355664501
357	0.3556002461
358	0.3548311555
359	0.3546958801
360	0.3544552369
361	0.3538379749
362	0.3529594404
363	0.3526265119
364	0.3518732024
365	0.3513579357
366	0.3508894169
367	0.3504723529
368	0.3497380731
369	0.3496097612
370	0.349540297
371	0.3494278782
372	0.3484122708
373	0.3479084229
374	0.347272221
375	0.3463647912
376	0.3461715603
377	0.3459596518
378	0.3455024906
379	0.3448123854
380	0.3447036501
381	0.3444308992
382	0.3440446389
383	0.3439669056
384	0.3438247439
385	0.3427956189
386	0.3423821474
387	0.3417157826
388	0.3411304312
389	0.3405120929
390	0.3403103376
391	0.3398326642
392	0.3396315196
393	0.3391072391
394	0.3384758395
395	0.3381706809
396	0.3379556294
397	0.337814975
398	0.3376675467
399	0.3372889376
400	0.3370262
401	0.3365951289
402	0.336439836
403	0.3362174232
