iter	Passed	Remaining
0	8	8082
1	32	16085
2	44	14689
3	52	13033
4	59	11811
5	66	10935
6	70	9947
7	74	9298
8	80	8899
9	85	8482
10	88	7966
11	91	7570
12	98	7440
13	105	7431
14	111	7349
15	119	7333
16	122	7082
17	126	6926
18	128	6659
19	134	6584
20	139	6511
21	144	6421
22	149	6340
23	155	6312
24	161	6296
25	163	6113
26	169	6098
27	174	6055
28	179	6010
29	185	5982
30	189	5931
31	195	5917
32	201	5903
33	208	5936
34	212	5872
35	217	5837
36	220	5737
37	225	5712
38	231	5709
39	236	5671
40	241	5659
41	246	5623
42	250	5582
43	256	5576
44	263	5593
45	270	5603
46	277	5625
47	282	5611
48	287	5582
49	295	5620
50	299	5576
51	305	5573
52	310	5555
53	314	5513
54	320	5501
55	325	5481
56	329	5453
57	333	5419
58	339	5422
59	346	5434
60	348	5357
61	352	5330
62	357	5316
63	364	5323
64	366	5270
65	371	5257
66	377	5260
67	382	5245
68	386	5211
69	389	5173
70	393	5154
71	398	5130
72	401	5095
73	406	5085
74	412	5084
75	417	5081
76	421	5055
77	426	5039
78	431	5035
79	441	5072
80	446	5069
81	451	5051
82	457	5052
83	463	5056
84	468	5044
85	473	5029
86	478	5017
87	482	5000
88	486	4979
89	490	4962
90	496	4963
91	502	4956
92	508	4961
93	514	4962
94	518	4935
95	522	4923
96	527	4912
97	531	4889
98	535	4876
99	540	4866
100	543	4839
101	548	4824
102	553	4819
103	557	4804
104	561	4782
105	566	4776
106	570	4758
107	575	4750
108	579	4737
109	585	4734
110	590	4725
111	594	4713
112	599	4709
113	603	4692
114	608	4683
115	614	4684
116	620	4682
117	623	4659
118	629	4658
119	635	4661
120	640	4653
121	649	4670
122	654	4669
123	660	4665
124	665	4658
125	669	4643
126	672	4626
127	677	4615
128	682	4606
129	686	4595
130	692	4590
131	697	4584
132	701	4575
133	706	4568
134	710	4554
135	715	4546
136	719	4535
137	723	4520
138	729	4517
139	734	4509
140	739	4507
141	744	4497
142	750	4495
143	751	4465
144	756	4462
145	761	4453
146	766	4449
147	773	4451
148	778	4443
149	784	4446
150	789	4441
151	795	4439
152	801	4435
153	808	4443
154	814	4441
155	818	4430
156	823	4420
157	827	4409
158	831	4398
159	835	4387
160	840	4377
161	844	4370
162	848	4355
163	854	4353
164	858	4344
165	863	4339
166	868	4332
167	873	4326
168	879	4325
169	883	4312
170	884	4288
171	890	4286
172	896	4283
173	901	4278
174	905	4270
175	910	4264
176	916	4261
177	920	4252
178	926	4250
179	931	4245
180	935	4235
181	939	4223
182	944	4218
183	950	4214
184	955	4208
185	957	4191
186	963	4188
187	968	4184
188	974	4183
189	981	4182
190	986	4176
191	991	4173
192	996	4165
193	1000	4158
194	1006	4155
195	1011	4148
196	1015	4141
197	1020	4134
198	1025	4126
199	1029	4118
200	1033	4109
201	1038	4103
202	1045	4106
203	1051	4101
204	1056	4095
205	1060	4087
206	1063	4075
207	1068	4068
208	1074	4067
209	1079	4060
210	1083	4050
211	1088	4046
212	1095	4048
213	1100	4041
214	1104	4033
215	1109	4028
216	1119	4039
