iter	Logloss
0	0.6901113246
1	0.6869666763
2	0.6843577912
3	0.682105254
4	0.6793268032
5	0.6763634892
6	0.6743110519
7	0.672042745
8	0.6694862925
9	0.6672547253
10	0.6649351789
11	0.6623768101
12	0.6605305944
13	0.6586365903
14	0.6565075511
15	0.6543103354
16	0.6521733523
17	0.6502435935
18	0.6481402881
19	0.6460086848
20	0.6440586944
21	0.64217213
22	0.6405582145
23	0.6388610415
24	0.6372807524
25	0.6357718588
26	0.6341394998
27	0.6327981852
28	0.6313512787
29	0.6295614626
30	0.6280293077
31	0.626079477
32	0.6244917738
33	0.6230792896
34	0.6210602276
35	0.6197401213
36	0.6185785551
37	0.6172720194
38	0.6160334412
39	0.6144153976
40	0.6129268173
41	0.6115186514
42	0.610519995
43	0.6093178714
44	0.6080487083
45	0.6065611888
46	0.605377304
47	0.6039690569
48	0.6032023973
49	0.6022247727
50	0.6011151607
51	0.5998327604
52	0.5986872425
53	0.5979764481
54	0.5972130526
55	0.5964301378
56	0.5953593293
57	0.5943395422
58	0.593375554
59	0.5926561112
60	0.5916853297
61	0.5910618828
62	0.5903341206
63	0.5893097094
64	0.5881130285
65	0.5869011344
66	0.586199398
67	0.5855958269
68	0.5847970507
69	0.5841486123
70	0.5829872421
71	0.5821008056
72	0.5815349479
73	0.5805595028
74	0.5799675705
75	0.5790823525
76	0.5784207527
77	0.5775581845
78	0.5769116078
79	0.5763479089
80	0.5752173896
81	0.5742704859
82	0.5733960154
83	0.5729244468
84	0.5721367273
85	0.5716208632
86	0.5708729049
87	0.570288058
88	0.5693682463
89	0.568967063
90	0.568106736
91	0.567587069
92	0.5668882297
93	0.5661089435
94	0.5654297963
95	0.5647602423
96	0.5642062741
97	0.5636143739
98	0.5630172861
99	0.5623809441
100	0.561677223
101	0.5610387613
102	0.5606312643
103	0.5599885883
104	0.559448216
105	0.5590283647
106	0.5585294923
107	0.5579748121
108	0.5575075871
109	0.5572690197
110	0.5566696281
111	0.5562108119
112	0.5559555292
113	0.5554330992
114	0.5550106092
115	0.5542466244
116	0.5535364697
117	0.5529403749
118	0.5525605503
119	0.5519259572
120	0.5516191728
121	0.5510878386
122	0.5508020907
123	0.5502447845
124	0.550053369
125	0.5498092228
126	0.5492783939
127	0.5491157779
128	0.5484776521
129	0.5480698101
130	0.5475861663
131	0.5469907869
132	0.546616278
133	0.5461221273
134	0.545886321
135	0.5456525722
136	0.545320033
137	0.5450651048
138	0.5447289301
139	0.5444830797
140	0.5440926113
141	0.5440218683
142	0.5437837443
143	0.5436300495
144	0.5431542982
145	0.5429285025
146	0.542353845
147	0.5419087085
148	0.5412433577
149	0.540656537
150	0.5401290302
151	0.539590753
152	0.5392900386
153	0.5391646536
154	0.5385958483
155	0.538148308
156	0.5377018285
157	0.5374634611
158	0.5371408419
159	0.5370698824
160	0.5368645909
161	0.5366694724
162	0.5363463306
163	0.5359716656
164	0.5357909591
165	0.5353673683
166	0.5351212838
167	0.5347856586
168	0.5342836362
169	0.5340021429
170	0.5336729121
171	0.5335830518
