iter	Passed	Remaining
0	7	7049
1	15	7514
2	25	8609
3	31	7873
4	35	7136
5	40	6671
6	44	6331
7	50	6274
8	56	6275
9	61	6095
10	69	6206
11	74	6108
12	80	6077
13	85	6029
14	92	6067
15	93	5774
16	98	5693
17	104	5689
18	108	5613
19	111	5452
20	116	5445
21	121	5394
22	126	5371
23	132	5372
24	136	5337
25	141	5294
26	145	5259
27	151	5270
28	157	5278
29	162	5251
30	166	5206
31	170	5169
32	173	5084
33	177	5055
34	182	5038
35	189	5068
36	194	5049
37	198	5019
38	204	5043
39	206	4955
40	212	4960
41	216	4935
42	221	4919
43	226	4922
44	231	4915
45	234	4863
46	238	4826
47	242	4801
48	246	4781
49	251	4779
50	256	4779
51	261	4767
52	263	4715
53	268	4707
54	273	4697
55	278	4696
56	281	4655
57	287	4661
58	291	4652
59	297	4658
60	302	4662
61	307	4649
62	311	4636
63	316	4631
64	320	4611
65	325	4610
66	332	4629
67	338	4640
68	343	4630
69	347	4623
70	353	4619
71	361	4653
72	367	4668
73	372	4667
74	378	4670
75	385	4689
76	391	4698
77	397	4694
78	400	4669
79	404	4650
80	409	4640
81	412	4616
82	416	4605
83	421	4594
84	425	4581
85	429	4560
86	433	4551
87	436	4528
88	441	4517
89	444	4496
90	449	4488
91	454	4487
92	458	4474
93	462	4459
94	467	4453
95	471	4442
96	474	4420
97	480	4422
98	485	4416
99	490	4418
100	493	4394
101	497	4382
102	500	4360
103	505	4353
104	507	4327
105	512	4319
106	515	4301
107	519	4288
108	522	4273
109	526	4260
110	529	4240
111	532	4224
112	536	4211
113	542	4212
114	547	4211
115	551	4199
116	556	4197
117	562	4206
118	570	4222
119	576	4225
120	578	4204
121	585	4216
122	591	4214
123	594	4199
124	598	4187
125	602	4178
126	605	4159
127	608	4146
128	612	4133
129	617	4130
130	620	4114
131	624	4104
132	628	4094
133	632	4085
134	635	4074
135	639	4065
136	644	4058
137	648	4049
138	651	4038
139	655	4027
140	659	4019
141	664	4016
142	668	4003
143	670	3987
144	674	3974
145	677	3960
146	680	3948
147	683	3936
148	688	3930
149	692	3926
150	697	3924
151	702	3919
152	708	3923
153	712	3914
154	717	3909
155	720	3899
156	724	3891
157	727	3875
158	732	3872
159	734	3856
160	738	3846
161	742	3841
162	746	3832
163	749	3820
164	754	3820
165	759	3813
166	762	3803
167	765	3788
168	768	3777
169	772	3770
170	776	3762
171	780	3756
172	785	3753
173	789	3748
174	793	3742
175	800	3748
176	805	3745
