iter	Logloss
0	0.6839593456
1	0.675817196
2	0.669723965
3	0.662417193
4	0.6573411797
5	0.6520780194
6	0.6463237025
7	0.6404968623
8	0.6353365332
9	0.6314632236
10	0.6273440212
11	0.6230861266
12	0.6184026138
13	0.6155385021
14	0.6119324322
15	0.6111746455
16	0.6072643786
17	0.6043609323
18	0.6010280929
19	0.5989993568
20	0.5964779338
21	0.593787647
22	0.5914402012
23	0.5888213514
24	0.5850603015
25	0.5830792931
26	0.5808342343
27	0.5786374792
28	0.5769827124
29	0.5748795235
30	0.5731677052
31	0.5714649676
32	0.5703291006
33	0.5685481209
34	0.5670948849
35	0.5656436234
36	0.5647988832
37	0.5630083597
38	0.5612113916
39	0.5610412896
40	0.5597600793
41	0.5592240984
42	0.5578293873
43	0.5550940342
44	0.5539273931
45	0.5537899697
46	0.5526398569
47	0.5509446387
48	0.5501111671
49	0.5489155801
50	0.5469565974
51	0.5457979315
52	0.5452121525
53	0.544088635
54	0.5431956375
55	0.5422964421
56	0.5419659846
57	0.5412896552
58	0.5398553129
59	0.5386065707
60	0.5377290088
61	0.536693823
62	0.5346450776
63	0.5338353403
64	0.5322867395
65	0.5317384063
66	0.5299915125
67	0.5291091279
68	0.5280286513
69	0.5274284738
70	0.5269663979
71	0.5258227873
72	0.525311343
73	0.5246949662
74	0.52401905
75	0.5238119862
76	0.5236987356
77	0.5234964494
78	0.5234105395
79	0.5218458654
80	0.5214536777
81	0.5203922393
82	0.519468594
83	0.5182489424
84	0.517104497
85	0.5167062117
86	0.5159176816
87	0.5152978532
88	0.5148260829
89	0.513832884
90	0.5129638976
91	0.5117902
92	0.5108974025
93	0.5106193137
94	0.5100902108
95	0.5089239037
96	0.5081661649
97	0.5073450141
98	0.5065883416
99	0.5062294465
100	0.5060972426
101	0.5057502819
102	0.5055135898
103	0.5047722096
104	0.5043959677
105	0.5039231987
106	0.5032085052
107	0.5028231195
108	0.5025434068
109	0.50161044
110	0.5012267761
111	0.5004013148
112	0.4994107778
113	0.4987041302
114	0.4983988819
115	0.4974465942
116	0.4969924147
117	0.4961465667
118	0.4957139249
119	0.4953089404
120	0.4951276641
121	0.493778941
122	0.4929002733
123	0.4921605895
124	0.4915204609
125	0.4911274774
126	0.4910389591
127	0.4897445528
128	0.4884670958
129	0.4878279615
130	0.4872637552
131	0.4865807186
132	0.4861727102
133	0.4858058223
134	0.4853751588
135	0.4849098275
136	0.4837175939
137	0.4835307582
138	0.4823515608
139	0.4820396518
140	0.4816868128
141	0.4812102867
142	0.4809691509
143	0.4808374895
144	0.4803348973
145	0.4798345667
146	0.4791895737
147	0.4784252941
148	0.4779301765
149	0.4772787031
150	0.476981013
151	0.4764252216
152	0.4760711562
153	0.4756001489
154	0.4748506468
155	0.4744131749
156	0.4743425959
157	0.4740948898
158	0.473303226
159	0.4728835801
160	0.4724414503
161	0.472006256
162	0.4717221771
163	0.4714585982
164	0.4712873165
165	0.4708120925
166	0.4694161618
167	0.4692340552
168	0.4689745344
169	0.4683160082
170	0.4678486166
171	0.4677190621
172	0.4674461977
173	0.4667028048
174	0.4664379561
175	0.4659936293
176	0.4654181609
177	0.4648127081
178	0.4644271553
179	0.4637684641
180	0.4636650723
181	0.4627238867
182	0.4619885381
183	0.461860331
184	0.4613352625
185	0.4610825222
186	0.4608976779
187	0.4604656961
188	0.4597342093
189	0.4596048556
190	0.4589500292
191	0.4586163145
192	0.4577693865
193	0.4567424158
194	0.4560666555
195	0.4558517668
196	0.4554296005
197	0.4550679125
198	0.454666117
199	0.4545793067
200	0.4539691006
201	0.4539410495
202	0.4524686029
203	0.4521063713
204	0.4510558576
205	0.4502778291
206	0.4495335846
207	0.4491484419
208	0.4485108855
209	0.447998701
210	0.4468283099
211	0.4460793338
212	0.4449431079
213	0.4440291491
214	0.4433222892
215	0.4429390564
216	0.4426516516
217	0.442382995
218	0.4416024487
219	0.4415546816
220	0.4408072446
221	0.4401527187
222	0.4397784435
223	0.4390785006
224	0.4378122624
225	0.4374119501
226	0.4370207483
227	0.4360908286
228	0.4358566082
229	0.4351562896
230	0.4345650228
231	0.434421963
232	0.4336542423
233	0.4324264356
234	0.4319729611
235	0.4310348256
236	0.4309326296
237	0.4305673283
238	0.4297583492
239	0.429483188
240	0.4286457415
241	0.4279057179
242	0.4269829775
243	0.4266634052
244	0.4263831154
245	0.4254890953
246	0.4244801874
247	0.4241150162
248	0.4234743726
249	0.422647462
250	0.4219610995
251	0.4214048439
252	0.4208166947
253	0.4201273489
254	0.4195087516
255	0.418474092
256	0.4179534151
257	0.4174373919
258	0.4172989242
259	0.4167187497
260	0.4163649806
261	0.4162142198
262	0.4159310558
263	0.4150837032
264	0.4147117958
265	0.4142158865
266	0.4135467594
267	0.4126895068
268	0.4117102458
269	0.4111328933
270	0.4106494666
271	0.4101962853
272	0.4100565272
273	0.4095100908
274	0.4091917469
275	0.4080352376
276	0.4075269578
277	0.407226657
278	0.406459136
279	0.4056819601
280	0.404750689
281	0.4043377279
282	0.4036595121
283	0.402925583
284	0.4023035209
285	0.4018576985
286	0.4015150751
287	0.4013355527
288	0.4011230982
289	0.4004732905
290	0.4003531894
291	0.4002463696
292	0.3998825171
293	0.3992989168
294	0.3989404214
295	0.3979699174
296	0.3978156209
297	0.397436964
298	0.3971191906
299	0.3962140891
300	0.3955405091
301	0.3945051745
302	0.3940145745
303	0.3933656518
304	0.3932444225
305	0.3926305558
306	0.3919179716
307	0.3915005185
308	0.390868555
309	0.3905922405
310	0.3899828873
311	0.3896967184
312	0.3894072064
313	0.389011595
314	0.3886937481
315	0.388241077
316	0.3876165223
317	0.3868742713
318	0.3859569251
319	0.385436292
320	0.3844271934
321	0.3838965536
322	0.3832554147
323	0.3821875649
324	0.3818287132
325	0.3814338841
326	0.3806424077
327	0.3801239529
328	0.3794631919
329	0.3786141985
330	0.3774883746
331	0.3768662814
332	0.37667706
333	0.3757381547
334	0.375355743
335	0.3748904616
336	0.3744529087
337	0.3738659719
338	0.373220789
339	0.3730560433
340	0.3725153928
341	0.3718105624
342	0.3717353384
343	0.3711172826
344	0.3703820867
345	0.3695635513
346	0.3690924125
347	0.3681057641
348	0.3678729737
349	0.3675719248
350	0.3670026488
351	0.366758951
352	0.3665250434
353	0.365314581
354	0.3650639543
355	0.3643663678
356	0.3639995532
357	0.3637429983
358	0.3630414227
359	0.3626398054
360	0.3618681338
361	0.3612985677
362	0.3602961437
363	0.360034254
364	0.3599899555
365	0.359417554
366	0.3586268988
367	0.358314812
368	0.3577233976
369	0.3574530021
370	0.3564799453
371	0.3561476815
372	0.3557440793
373	0.3555575173
374	0.3554558408
375	0.3551458844
376	0.3547093128
377	0.3538695398
378	0.3533114055
379	0.3531257443
380	0.3527207292
381	0.352241162
382	0.3521037708
383	0.3516380334
384	0.3513949389
385	0.3512135811
386	0.3506680015
387	0.3501032155
388	0.3500002739
389	0.349443965
390	0.3490444378
391	0.3487852212
392	0.3486168112
393	0.3483382414
394	0.348111274
395	0.3479914081
396	0.3478307859
397	0.3474056116
398	0.3468197681
399	0.346544008
400	0.3461805704
401	0.3458876277
402	0.3453681557
403	0.3452410696
404	0.3448582527
405	0.3443798567
406	0.3439318147
407	0.3437382062
408	0.3436232569
409	0.3431883412
410	0.3430487845
411	0.3425958252
412	0.3424440192
413	0.3422015506
414	0.3420562166
415	0.3411924391
416	0.3409363981
417	0.3406214965
418	0.3403923709
419	0.3393087952
420	0.3383839003
421	0.3376603705
422	0.3368699617
423	0.3363650885
424	0.3355175828
425	0.3352512614
426	0.3348183409
427	0.333925729
428	0.333695008
429	0.3333684436
430	0.3323855546
431	0.3321917505
432	0.3319964305
433	0.3318441609
434	0.3317225653
435	0.3313405476
436	0.3305768954
437	0.3301545731
438	0.3299492312
439	0.3295703705
440	0.3285062513
441	0.3283103691
442	0.3278859704
443	0.3273344178
444	0.3270107507
445	0.3262661053
446	0.3255771423
447	0.3251949037
448	0.3249959239
449	0.3248165858
450	0.3247021818
451	0.3245503358
452	0.3239322443
453	0.3236256942
454	0.3232676884
455	0.3231210021
456	0.322859346
457	0.3223143567
458	0.3220336852
459	0.3219298776
460	0.3216326406
461	0.3213115204
462	0.3210818878
463	0.3203847348
464	0.3200181007
465	0.319802812
466	0.3195763792
467	0.3189036747
468	0.3182785253
469	0.3181868248
470	0.3174005533
471	0.3167929307
472	0.3165122817
473	0.3162122751
474	0.3155552496
475	0.3150787707
476	0.3149572695
477	0.3146021765
478	0.3143891782
479	0.3141241558
480	0.3135887718
481	0.3133692817
482	0.3130102656
483	0.3127086096
484	0.312215009
485	0.3119006917
486	0.3115804829
487	0.3105961014
488	0.3100980769
489	0.3098603822
490	0.3091988189
491	0.3083042306
492	0.3080936698
493	0.3077587733
494	0.3073271571
495	0.306949758
496	0.3067640932
497	0.3065802353
498	0.3065435821
499	0.3061413564
500	0.3056236354
501	0.3053431427
502	0.3047029048
503	0.3041078555
504	0.3039595326
505	0.3034076714
506	0.3028016338
507	0.3022529579
508	0.3018375061
509	0.3016235863
510	0.3010631153
511	0.3007446201
512	0.3004933815
513	0.3000208377
514	0.2994823359
515	0.2993191297
516	0.2985984557
517	0.2978580521
518	0.2976443322
519	0.2973009926
520	0.2964784558
521	0.2962581104
522	0.2959569855
523	0.2953348309
524	0.2952779286
525	0.2950549472
526	0.2946144752
527	0.2940576642
528	0.2937238823
529	0.293556665
530	0.2935095028
531	0.2931242519
532	0.2929998731
533	0.2927317414
534	0.2922556146
535	0.2918558613
536	0.291476013
537	0.2912064706
538	0.2910007971
539	0.2904979699
540	0.289951975
541	0.2897998241
