iter	Logloss
0	0.6844838855
1	0.6781413916
2	0.6725810969
3	0.665987341
4	0.6601299653
5	0.6552463619
6	0.6507771052
7	0.6451341415
8	0.639131981
9	0.6343314876
10	0.6307658027
11	0.6270256818
12	0.6232045114
13	0.6182502571
14	0.6148677212
15	0.6110428042
16	0.6076695822
17	0.6052344682
18	0.6011159661
19	0.5987643021
20	0.5957494972
21	0.5938964747
22	0.5919594452
23	0.5895164896
24	0.5866316686
25	0.5846622208
26	0.5820096903
27	0.5797549778
28	0.5781896372
29	0.5756663663
30	0.5732974998
31	0.5706312354
32	0.5684870025
33	0.5657236143
34	0.5646260666
35	0.5625171021
36	0.5602013427
37	0.5586075032
38	0.5571882229
39	0.555778951
40	0.5538912047
41	0.5521784033
42	0.5506574064
43	0.5502256491
44	0.5494511844
45	0.5484493467
46	0.5471997355
47	0.5456789469
48	0.5450804052
49	0.5440211158
50	0.5426472666
51	0.5416258412
52	0.5411787398
53	0.540627828
54	0.5392871589
55	0.5382395844
56	0.5373240558
57	0.5358931552
58	0.5342723671
59	0.533937778
60	0.5322038602
61	0.5301035473
62	0.5296215699
63	0.5283697799
64	0.526845087
65	0.5252451304
66	0.5244040505
67	0.5229119813
68	0.5222155564
69	0.5207832768
70	0.5201269855
71	0.5196525277
72	0.5191640013
73	0.5181575706
74	0.5171792829
75	0.5163379032
76	0.5156896056
77	0.515332763
78	0.5147161422
79	0.5144922629
80	0.5133477428
81	0.5123589994
82	0.5118049357
83	0.511485939
84	0.5109825594
85	0.5106777972
86	0.509853953
87	0.5087274043
88	0.5081088143
89	0.5069551709
90	0.5065557479
91	0.5062500618
92	0.5050354723
93	0.5044127342
94	0.5040299234
95	0.5031147691
96	0.5023812352
97	0.5013584812
98	0.5011840438
99	0.500436356
100	0.4997947983
101	0.4988661627
102	0.4983011306
103	0.4970048366
104	0.4953344048
105	0.4947316078
106	0.4942878586
107	0.4936244541
108	0.492108033
109	0.4915521907
110	0.4898556481
111	0.4894111889
112	0.4891440866
113	0.4879316237
114	0.4872896779
115	0.4869529312
116	0.4866066313
117	0.4862336433
118	0.4859111636
119	0.4854795352
120	0.4852103414
121	0.4844149525
122	0.4842077535
